Автомобильный спорт,"ралли - кросс ""Д2Н"""
Автомобильный спорт,"ралли - кросс ""Национальный"""
Автомобильный спорт,"ралли - кросс ""Д2-юниор"""
Автомобильный спорт,"ралли - рейд ""N"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""N"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""N2"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""N2"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""T1"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""Т1"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""T2"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""Т2"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""T3"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""Т3"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""T5"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""Т5"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""абсолютный"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""абсолютный"" свыше 1000 км"
Автомобильный спорт,"ралли - рейд ""R"" до 1000 км"
Автомобильный спорт,"ралли - рейд ""R"" свыше 1000 км"
Автомобильный спорт,"ралли - спринт ""1400"""
Автомобильный спорт,"ралли - спринт ""1600"""
Автомобильный спорт,"ралли - спринт ""2000"""
Автомобильный спорт,"ралли-спринт ""свободный"""
Автомобильный спорт,"трековые гонки ""N-1600"""
Автомобильный спорт,"трековые гонки ""А-1600"""
Автомобильный спорт,"трековые гонки ""Национальный"""
Автомобильный спорт,"трековые гонки ""Лада"""
Автомобильный спорт,"трофи - рейд ""абсолютный"""
Автомобильный спорт,"трофи - рейд ""ТР1"""
Автомобильный спорт,"трофи - рейд ""ТР2"""
Автомобильный спорт,"трофи - рейд ""ТР3"""
Айкидо,кихон-вадза - парный разряд
Айкидо,дзюи-вадза - групповой разряд
Айкидо,дзюи-вадза - парный разряд
Айкидо,комплекс - техника
Акробатический рок-н-ролл,А класс - микст
Акробатический рок-н-ролл,В класс - микст
Акробатический рок-н-ролл,М класс - микст
Акробатический рок-н-ролл,буги-вуги
Акробатический рок-н-ролл,формейшн - микст
Акробатический рок-н-ролл,формейшн
Альпинизм,класс - скальный
Альпинизм,класс - технический
Альпинизм,класс - высотно-технический
Альпинизм,класс - высотный
Альпинизм,класс - ледово-снежный
Альпинизм,класс - первопрохождений
Альпинизм,ледолазание - скорость
Альпинизм,ледолазание - трудность
Альпинизм,ледолазание - комбинация
Альпинизм,скайраннинг - вертикальный километр
Альпинизм,скайраннинг - гонка
Альпинизм,скайраннинг - марафон
Альпинизм,ски - альпинизм - спринт
Альпинизм,ски - альпинизм - гонка
Альпинизм,ски - альпинизм - гонка вертикальная
Альпинизм,ски - альпинизм - командная гонка
Альпинизм,ски - альпинизм - эстафета
Американский футбол,американский футбол
Американский футбол,флаг - футбол
Армрестлинг,весовая категория 40 кг
Армрестлинг,весовая категория 45 кг
Армрестлинг,весовая категория 50 кг
Армрестлинг,весовая категория 55 кг
Армрестлинг,весовая категория 60 кг
Армрестлинг,весовая категория 65 кг
Армрестлинг,весовая категория 70 кг
Армрестлинг,весовая категория 70+ кг
Армрестлинг,весовая категория 75 кг
Армрестлинг,весовая категория 80 кг
Армрестлинг,весовая категория 80+ кг
Армрестлинг,весовая категория 85 кг
Армрестлинг,весовая категория 90 кг
Армрестлинг,весовая категория 90+ кг
Армрестлинг,весовая категория 100 кг
Армрестлинг,весовая категория 110 кг
Армрестлинг,весовая категория 110+ кг
Армрестлинг,ПОДА - весовая категория 50 кг (PIU)
Армрестлинг,ПОДА - весовая категория 50+ кг (PIU)
Армрестлинг,ПОДА - весовая категория 55 кг (PID)
Армрестлинг,ПОДА - весовая категория 55 кг (PIU)
Армрестлинг,ПОДА - весовая категория 55+ кг (PIU)
Армрестлинг,ПОДА - весовая категория 60 кг (PIU)
Армрестлинг,ПОДА - весовая категория 65 кг (PID)
Армрестлинг,ПОДА - весовая категория 65 кг (PIU)
Армрестлинг,ПОДА - весовая категория 65+ кг (PID)
Армрестлинг,ПОДА - весовая категория 65+ кг (PIU)
Армрестлинг,ПОДА - весовая категория 70 кг (PIU)
Армрестлинг,ПОДА - весовая категория 75 кг (PID)
Армрестлинг,ПОДА - весовая категория 75+ кг (PID)
Армрестлинг,"ПОДА - весовая категория 85 кг, правая рука (PIDH)"
Армрестлинг,"ПОДА - весовая категория 85 кг, правая рука (PIUH)"
Армрестлинг,"ПОДА - весовая категория 85 кг, левая рука (PIDH)"
Армрестлинг,"ПОДА - весовая категория 85 кг, левая рука (PIUH)"
Армрестлинг,ПОДА - весовая категория 80 кг (PIU)
Армрестлинг,"ПОДА - весовая категория 85+ кг, правая рука (PIDH)"
Армрестлинг,"ПОДА - весовая категория 85+ кг, правая рука (PIUH)"
Армрестлинг,"ПОДА - весовая категория 85+ кг, левая рука (PIDH)"
Армрестлинг,"ПОДА - весовая категория 85+ кг, левая рука (PIUH)"
Армрестлинг,ПОДА - весовая категория 90 кг (PIU)
Армрестлинг,ПОДА - весовая категория 90+ кг (PIU)
Бадминтон,одиночный разряд
Бадминтон,парный разряд
Бадминтон,смешанный парный разряд
Бадминтон,командные соревнования
Баскетбол,баскетбол
Баскетбол,мини-баскетбол
Баскетбол,баскетбол 3х3
Баскетбол,баскетбольное двоеборье
